TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,LATITUDE,LONGITUDE,SUBWAY_STATION,DISTANCE,KINDERGARTEN,SCHOOL,COLLEGE,CAFE,BAR,PARKING,SUPERMARKET,ZIP_CODE
Co-op,355000.0,2,1,1000.0,Kings County,Brooklyn,Coney Island,2930,40.5782062,-73.973315,Bay Parkway & 66 Street,3933.9880669464414,2.0,5.0,0.0,16.0,7.0,3.0,10.0,11224
Condo,2137000.0,5,6,3633.0,New York,New York County,New York,West 23rd Street,40.7423282,-73.9911409,Broadway & 23rd Street at Northeast Corner,201.86105827623015,12.0,37.0,8.0,477.0,284.0,43.0,75.0,10010
Pending,375000.0,1,1,2184.207862,New York County,New York,Manhattan,162,40.7228235,-73.98509,1 Avenue & Houston St,322.4959556802254,11.0,40.0,5.0,347.0,281.0,10.0,86.0,10009
Co-op,268800.0,1,1,725.0,Kings County,Brooklyn,Bensonhurst,303,40.6086157,-73.9765291,Bay Parkway & 66 Street,676.0789255743994,0.0,25.0,1.0,22.0,0.0,3.0,18.0,11204
Condo,640000.0,1,1,1022.0,Kings County,Brooklyn,Dyker Heights,1238,40.6275896,-74.0016198,Bay Parkway & 66 Street,2315.3063092788484,3.0,13.0,0.0,39.0,6.0,0.0,34.0,11219
Co-op,707800.0,2,2,2184.207862,New York County,New York,Manhattan,1088,40.7820603,-73.9562107,East 86th Street & Lexington Avenue at Northwest Corner,258.8329062244528,13.0,56.0,1.0,160.0,62.0,17.0,55.0,10128
Co-op,699000.0,2,2,1400.0,Queens County,Queens,Forest Hills,11020,40.7216499,-73.84119,Platform A,371.78524752784153,3.0,10.0,1.0,19.0,4.0,54.0,19.0,11375
Pending,950000.0,1,1,2184.207862,New York County,New York,Manhattan,82,40.7346124,-74.0039065,Broadway & Houston Street at Northeast Corner,1191.46657321338,2.0,35.0,6.0,367.0,279.0,13.0,65.0,10014
Multi-family home,1208000.0,5,6,2620.5247172000004,New York,Queens County,Queens,115th Street,40.787452,-73.8521292,7 Train Stair Entrance,3596.3423034508724,0.0,1.0,0.0,1.0,0.0,0.0,2.0,11356
House,749000.0,5,4,2184.207862,New York,Queens County,Queens,88th Street,40.6785851,-73.8497745,111 Street,2314.0240822535884,1.0,8.0,0.0,2.0,3.0,2.0,4.0,11417
Multi-family home,1800000.0,5,2,2184.207862,New York,Kings County,Brooklyn,Irving Avenue,40.6958927,-73.9084857,Stanhope St & Wycoff Ave - SE Corner,1129.6685158061568,1.0,32.0,0.0,82.0,83.0,3.0,39.0,11237
Condo,1025000.0,1,1,787.0,New York County,New York,Manhattan,105,40.7188873,-73.9873574,Allen St & Houston St,453.9988027750468,13.0,39.0,5.0,349.0,274.0,8.0,81.0,10002
Condo,2449000.0,3,2,1744.0,New York County,New York,Manhattan,90,40.7735704,-73.9461541,83rd Street & 2nd Avenue at Northeast Corner,627.1552565811522,4.0,36.0,1.0,121.0,48.0,14.0,44.0,10028
House,659000.0,3,2,1460.0,New York,Richmond County,Staten Island,Saint Johns Avenue,40.6114323,-74.0667876,Bay Parkway & 66 Street,7171.017460724824,0.0,2.0,0.0,2.0,1.0,1.0,4.0,10305
Multi-family home,1499000.0,7,4,3570.0,New York,Queens County,Queens,64th Street,40.7221698,-73.9011088,Dekalb Ave & Wycoff Ave - NE Corner,2487.3351333184255,0.0,10.0,0.0,23.0,9.0,1.0,15.0,11378
Condo,700000.0,3,1,474.0,New York County,New York,Manhattan,246,40.7253082,-74.005407,Broadway & Houston Street at Southeast Corner,741.7872790439326,8.0,36.0,5.0,395.0,291.0,13.0,76.0,10013
Co-op,235000.0,3,1,2184.207862,Queens County,Queens,Woodside,6515,40.7469399,-73.8986099,Platform C,334.19657867078337,1.0,6.0,0.0,42.0,38.0,5.0,42.0,11377
Co-op,700000.0,2,1,900.0,New York County,New York,Manhattan,315,40.7673126,-73.9584378,72nd Street & 2nd Avenue at Southeast Corner,137.82135697113003,2.0,37.0,1.0,171.0,62.0,22.0,44.0,10021
Townhouse,2047000.0,4,4,3622.0,New York,New York County,New York,Reade Street,40.7151591,-74.006685,Nassau Street & Frankfort Street at Southeast Corner,393.7373884542894,9.0,28.0,2.0,305.0,182.0,10.0,62.0,10007
Condo,2350000.0,4,2,1847.0,New York County,New York,Manhattan,375,40.8101077,-73.9546373,Lenox Avenue & 125th Street at Southwest Corner,796.9562920984489,6.0,57.0,2.0,64.0,19.0,4.0,35.0,10027
Condo,456000.0,1,1,2184.207862,Queens County,Queens,Elmhurst,42-39,40.7442352,-73.8797855,Elmhurst Avenue,297.62886468117364,1.0,9.0,0.0,29.0,16.0,7.0,43.0,11373
Condo,1608999.8,3,4,2491.0,New York County,New York,Manhattan,522,40.7518261,-74.002774,Moynihan Train Hall,670.2412743509693,4.0,22.0,3.0,276.0,149.0,27.0,37.0,10001
Co-op,335000.0,2,1,2184.207862,New York,Queens County,Queens,Marathon Parkway,40.7576854,-73.7298343,Platform B,1999.0099959417137,0.0,2.0,0.0,3.0,0.0,0.0,3.0,11362
Condo,628000.0,3,2,1097.0,Kings County,Brooklyn,Sunset Park,238,40.6449894,-74.0196153,Church Ave,3349.602567438059,4.0,9.0,0.0,58.0,14.0,0.0,27.0,11220
House,710000.0,2,2,2250.0,New York,Bronx County,The Bronx,Murdock Avenue,40.8926424,-73.8409541,Baychester Avenue,1474.802558150334,0.0,15.0,0.0,1.0,0.0,0.0,9.0,10466
House,790000.0,4,2,1744.0,New York,Kings County,Brooklyn,East 42nd Street,40.631398,-73.9361773,Church Ave,3898.5677861270337,0.0,11.0,0.0,5.0,1.0,2.0,1.0,11210
House,1300000.0,3,2,2184.207862,New York,Kings County,Brooklyn,Bedford Avenue,40.6074439,-73.9477154,Bay Parkway & 66 Street,2972.50759185384,1.0,27.0,1.0,11.0,0.0,3.0,12.0,11229
Co-op,800000.0,2,1,900.0,New York County,New York,Manhattan,425,40.7720929,-73.9514513,83rd Street & 2nd Avenue at Northeast Corner,454.6985981464417,3.0,37.0,1.0,131.0,46.0,14.0,44.0,10075
House,699000.0,3,2,522.0,New York,Kings County,Brooklyn,East 57th Street,40.6200647,-73.9203764,Bay Parkway & 66 Street,5279.647867167819,0.0,8.0,0.0,3.0,0.0,2.0,3.0,11234
Condo,1750000.0,1,1,2184.207862,New York County,New York,Manhattan,502,40.7632867,-73.9700993,East 59th Street & Lexington Avenue at Southwest Corner,170.016656705692,6.0,41.0,4.0,315.0,108.0,49.0,53.0,10022
Co-op,416000.0,3,1,950.0,Queens County,Queens,Flushing,38-15,40.763716,-73.816271,Platform A,170.58927682528957,0.0,9.0,0.0,25.0,3.0,6.0,27.0,11354
Contingent,225000.0,1,1,650.0,Richmond County,Staten Island,Mid Island,17,40.6185653,-74.0948312,Bay Parkway & 66 Street,9561.638765606309,1.0,4.0,0.0,2.0,1.0,2.0,1.0,10301
Co-op,499000.0,1,1,800.0,Kings County,Brooklyn,Prospect Lefferts Gardens,150,40.6573594,-73.9554071,Eastern Parkway - Brooklyn Museum,1770.9736241825944,19.0,29.0,0.0,45.0,20.0,0.0,19.0,11225
Co-op,425000.0,3,1,2184.207862,New York County,New York,Manhattan,513,40.7247015,-73.9835768,1 Avenue & Houston St,477.2617257349259,11.0,41.0,4.0,348.0,282.0,10.0,86.0,10009
Co-op,220000.0,1,1,2184.207862,New York,Queens County,Queens,Dry Harbor Road,40.7257927,-73.8727767,67th Avenue,1629.1477681976744,1.0,5.0,0.0,21.0,4.0,17.0,17.0,11379
Condo,2400000.0,2,2,1375.0,New York County,New York,Manhattan,12,40.782249,-73.958665,East 86th Street & Lexington Avenue at Northwest Corner,367.91702834621816,13.0,57.0,1.0,175.0,67.0,19.0,56.0,10128
Co-op,617004.6,3,2,2302.4415724,New York County,New York,Manhattan,17,40.7190306,-74.0054491,Nassau Street & Frankfort Street at Southeast Corner,799.9703761236692,7.0,33.0,5.0,363.0,238.0,12.0,70.0,10013
